Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Mouser
"U1","1","","","MSP430FR2512IRHLR","","","","","","595-430FR2512IRHLR"
"U2","1","","","RN42","","","","","","765-RN42HID-I/RM"
"U3","1","","","AP3513E","","","","","","621-AP3513EMPTR-G1"
"J1","1","","","Conn_02x02_Counter_Clockwise","","","","","","NoPart"
"C10;C6;C5;C2;C15","5","","","100nF","","","","","","77-VJ1206Y104KXXPBC"
"R13;R9;R12;R8;R11;R16;R18;R19;R7","9","","","100k","","","","","","755-SFR01MZPF1003"
"C12","1","","","3.3nF","","","","","","710-885012205047"
"R15","1","","","13k","","","","","","71-CRCW060313K0FKEAC"
"C11;C7","2","","","10nF","","","","","","77-VJ0603Y103KXAAC"
"C8;C9","2","","","10uF 16V","","","","","","74-TMCMA1C106MTRF"
"L1","1","","","4.7uH","","","","","","963-NRH2410T4R7MN"
"C14;C13","2","","","22uF","","","","","","581-TAJB226K016TNJ"
"R14","1","","","26.1k 1%","","","","","","652-CR0402-FX2612GLF"
"R17","1","","","10k 1%","","","","","","754-RR0510P-103D"
"TP1;TP4;TP5;TP8;TP9;TP6;TP7;TP10;TP2;TP3","10","","","TestPoint","","","","","","NoPart"
"D1;D3;D2","3","","","LED_Small","","","","","","710-150060VS75000"
"R2;R10;R3;R5;R6","5","","","470","","","","","","755-ESR03EZPJ471"
"J2","1","","","Conn_01x02","","","","","","NoPart"
"R4;R1","2","","","10k","","","","","","754-RR0510P-103D"
"C1","1","","","10uF","","","","","","74-TMCMA1C106MTRF"
"Y1","1","","","32.768kHz","","","","","","520-ECS327-6-13-X"
"C3;C4","2","","","10pF","","","","","","81-GRM0225C1C100JA3L"
"MH2;MH1","2","","","MountingHole","","","","","","NoPart"
"Q1","1","","","RU1E002SPTCL","","","","","","755-RU1E002SPTCL"
"SW1","1","","","SW_SPST","","","","","","NoPart"
"C16","1","","","1nF","","","","","","77-VJ0603Y102JXJPBC"
"C17","1","","","1uF","","","","","","603-CC805MKX7R6BB105"
